report_date,idx,group_0,group_1,fmt,value,mapped_values
2025-06-30,0100,Amount,0010,integer,-16320946.0,"['(mi1000) Change in net interest income [mi]', '(BA:x1) Income or expenses', '(CS:x101) Worst scenario', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0110,Amount,0010,integer,0.0288,"['(pi1035) Ratio of the change in the net interest income to the Tier 1 [pi]', '(BA:x1) Income or expenses', '(CS:x101) Worst scenario', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0150,Amount,0010,integer,817225764.0,"['(mi420) Market value [mi]', '(BA:x22) Assets and liabilities', '(CS:x6) Baseline scenario', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0160,Amount,0010,integer,833546711.0,"['(mi1005) Changes in market value [mi]', '(BA:x22) Assets and liabilities', '(CS:x95) Parallel shock up', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0170,Amount,0010,integer,800904817.0,"['(mi1005) Changes in market value [mi]', '(BA:x22) Assets and liabilities', '(CS:x94) Parallel shock down', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0010,Amount,0010,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x2) Equity', '(CS:x101) Worst scenario', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0020,Amount,0010,integer,0.0,"['(pi1034) Ratio of the change in the economic value of equity to the Tier 1 [pi]', '(BA:x2) Equity', '(CS:x101) Worst scenario', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0030,Amount,0010,integer,0.0,"['(mi1010) Economic value of equity [mi]', '(BA:x2) Equity', '(CS:x6) Baseline scenario', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0040,Amount,0010,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x2) Equity', '(CS:x95) Parallel shock up', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0050,Amount,0010,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x2) Equity', '(CS:x94) Parallel shock down', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0060,Amount,0010,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x2) Equity', '(CS:x100) Steepener shock', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0070,Amount,0010,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x2) Equity', '(CS:x91) Flattener shock', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0080,Amount,0010,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x2) Equity', '(CS:x98) Short rate shock up', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0090,Amount,0010,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x2) Equity', '(CS:x97) Short rate shock down', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0120,Amount,0010,integer,16713764.0,"['(mi1022) Net interest income [mi]', '(BA:x1) Income or expenses', '(CS:x6) Baseline scenario', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0130,Amount,0010,integer,16320946.0,"['(mi1000) Change in net interest income [mi]', '(BA:x1) Income or expenses', '(CS:x95) Parallel shock up', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0140,Amount,0010,integer,-16320946.0,"['(mi1000) Change in net interest income [mi]', '(BA:x1) Income or expenses', '(CS:x94) Parallel shock down', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
